id_cliente,nome_cliente,status_negocio
289,Gabriela Ferreira,proposta
290,Gabriela Pereira,negociacao
291,Lucas Souza,qualificado
292,Ana Oliveira,perdido
293,Xênia Rodrigues,negociacao
294,Felipe Souza,lead
295,Vitor Carvalho,ganho
296,Vitor Martins,ganho
297,Henrique Martins,lead
298,Olivia Costa,qualificado
299,Isabela Lima,lead
300,Isabela Ribeiro,proposta
